Software providor ID,Customer Type,Annual Charges ,Biggest market,Invoice generation,E invoice generation,Delivery challan Generation,E way bill generation,LR generation,Multi user compatibility,Multi tenant usability,Tasks management,Customization,Vehicle allocation,Inventory Management,Integrated Payment gatways,Logistics management,Customer management,User satisfied
I174352,ALL,150000,Pune,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
I277109,ALL,200000,Hyderabad,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes
I248491,Large,100000,Bangalore,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes
I325956,Large,60000,Jaipur,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No
I279910,SME,150000,Pune,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
I109250,SME,80000,Mumbai,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No
I300577,Large,25000,Pune,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No
I192333,ALL,150000,Kolkata,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes
I270434,Large,25000,Pune,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No
I528799,ALL,100000,Pune,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No
I285186,SME,100000,Bangalore,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No
I335448,ALL,60000,Mumbai,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes
I319889,SME,25000,Mumbai,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No
I664813,ALL,150000,Pune,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No
I131228,Large,60000,Mumbai,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No
I160940,SME,80000,Madhya Pradesh,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No
I238496,SME,200000,Pune,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No
I584453,ALL,80000,Bangalore,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes
I700528,Large,80000,Bangalore,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No
I109234,ALL,80000,Pune,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No
I622019,SME,60000,Hyderabad,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes
I189095,Large,80000,Kerala,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
I304774,Large,60000,Mumbai,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes
I145697,Large,80000,Mumbai,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
I197761,ALL,200000,Chennai,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes
I233829,Large,200000,Kerala,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
I109005,SME,25000,Kolkata,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes
I187188,SME,60000,Hyderabad,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes
I952688,SME,25000,Kerala,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
I290746,SME,25000,Hyderabad,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No
I144831,ALL,60000,Kerala,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No
I325039,Large,100000,Mumbai,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
I211302,Large,150000,Chennai,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No
I283276,ALL,60000,Kerala,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
I277659,Large,150000,Mumbai,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes
I186631,Large,200000,Madhya Pradesh,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes
I248674,ALL,80000,Hyderabad,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
I204083,SME,200000,Kerala,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes
I958994,SME,80000,Jaipur,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No
I322370,SME,150000,Kerala,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
I526428,Large,60000,Madhya Pradesh,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No
I215544,ALL,100000,Bangalore,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
I308681,ALL,80000,Jaipur,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
I294693,Large,25000,Chennai,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
I210429,Large,100000,New Delhi,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,No
I189609,Large,25000,Kolkata,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes
I221676,Large,25000,New Delhi,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No
I285339,SME,150000,Hyderabad,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes
I616206,Large,60000,Kolkata,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
I918005,SME,200000,Bangalore,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
I186281,ALL,200000,Mumbai,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes
I969015,SME,100000,Mumbai,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes
I264732,SME,200000,Jaipur,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
I244897,Large,25000,Madhya Pradesh,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes
I574062,ALL,150000,Kerala,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes
I290806,Large,80000,Jaipur,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No
I247890,SME,200000,Pune,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No
I178094,SME,60000,Pune,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
I227653,Large,80000,Pune,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No
I226544,Large,60000,Bangalore,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes
I194413,Large,150000,Kerala,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No
I141267,ALL,200000,Jaipur,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No
I142564,Large,200000,Bangalore,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
I111496,ALL,80000,Kerala,No,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
I140101,Large,80000,Kerala,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No
I277913,Large,200000,Kerala,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes
I142238,ALL,25000,Mumbai,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
I109946,Large,60000,Jaipur,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes
I144070,Large,100000,Kolkata,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
I223790,Large,150000,Madhya Pradesh,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes
I138549,Large,200000,Mumbai,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes
I625044,SME,80000,Pune,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No
I261372,Large,80000,New Delhi,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes
I286175,Large,200000,Hyderabad,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No
I170774,ALL,100000,Kolkata,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes
I193846,ALL,100000,Kerala,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No
I633215,SME,200000,Jaipur,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes
I414220,SME,150000,Madhya Pradesh,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
I225746,SME,150000,Bangalore,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes
I115842,Large,150000,Mumbai,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No
I329235,Large,200000,Madhya Pradesh,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes
I176787,SME,100000,Chennai,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
I408879,SME,25000,Mumbai,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
I135240,ALL,80000,New Delhi,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No
I164845,Large,200000,Chennai,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes
I246703,SME,80000,Pune,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
I741221,Large,80000,New Delhi,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
I290586,SME,80000,Hyderabad,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
I275833,SME,60000,Chennai,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No
I174802,Large,200000,Bangalore,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No
I251259,ALL,100000,Kerala,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
I219795,ALL,200000,New Delhi,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
I298972,SME,200000,Pune,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes
I671053,Large,25000,Pune,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes
I169880,Large,25000,Pune,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No
I424601,ALL,25000,Mumbai,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes
I214892,ALL,80000,Madhya Pradesh,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No
I101466,Large,100000,Kerala,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
I350592,ALL,150000,Jaipur,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes
I226181,SME,25000,Kerala,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
I141246,Large,80000,New Delhi,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
I228865,Large,150000,Jaipur,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes
I269961,SME,150000,New Delhi,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
I255798,ALL,80000,Madhya Pradesh,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes
I215916,SME,100000,Kerala,Yes,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No
I229243,SME,25000,Kolkata,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,No
I196011,ALL,60000,Jaipur,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes
I198974,SME,60000,Hyderabad,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes
I113052,Large,100000,Bangalore,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No
I469711,ALL,100000,Kerala,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes
I770125,SME,150000,Hyderabad,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No
I964273,Large,150000,Madhya Pradesh,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes
I218417,SME,150000,Pune,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No
I751601,ALL,80000,Pune,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No
I186729,ALL,25000,Hyderabad,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
I174164,SME,200000,Hyderabad,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No
I394261,SME,200000,Jaipur,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes
I291423,SME,25000,Kolkata,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes
I110116,ALL,25000,Mumbai,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No
I322756,Large,80000,Mumbai,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes
I512699,SME,100000,Madhya Pradesh,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes
I186553,Large,25000,Hyderabad,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes
I325608,SME,25000,Mumbai,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No
I128473,ALL,80000,Mumbai,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
I299305,ALL,150000,Pune,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No
I935416,Large,150000,New Delhi,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No
I184361,ALL,80000,Mumbai,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No
I311123,SME,60000,Chennai,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No
I192882,SME,80000,Kerala,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No
I502133,SME,200000,Mumbai,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
I167336,ALL,150000,Kerala,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes
I707022,Large,200000,Bangalore,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No
I243580,ALL,25000,Kolkata,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes
I198307,Large,80000,Kerala,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes
I186196,ALL,25000,Mumbai,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
I309592,ALL,200000,New Delhi,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No
I960652,SME,25000,Bangalore,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No
I232678,Large,150000,Kerala,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No
I320982,SME,200000,Kerala,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,Yes
I313702,Large,150000,New Delhi,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No
I324994,ALL,100000,Kolkata,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
I321083,ALL,150000,Chennai,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No
I352735,SME,80000,Jaipur,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes
I248048,SME,150000,Chennai,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes
I159670,Large,150000,Kerala,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No
I195292,ALL,25000,Bangalore,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes
I183930,Large,100000,Kolkata,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
I103989,SME,80000,Chennai,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No
I101682,Large,150000,Pune,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No
I116696,Large,80000,Mumbai,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No
I185548,SME,60000,Pune,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No
I128833,Large,150000,Hyderabad,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes
I217246,ALL,60000,Jaipur,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No
I274569,ALL,150000,Madhya Pradesh,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No
I280034,SME,150000,New Delhi,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No
I271926,ALL,25000,Kolkata,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes
I215363,ALL,25000,Jaipur,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes
I490431,Large,25000,Chennai,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No
I122066,ALL,25000,Mumbai,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No
I256404,Large,80000,Chennai,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,Yes
I257284,Large,150000,Chennai,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No
I613803,SME,100000,Hyderabad,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
I115125,SME,100000,New Delhi,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
I913291,Large,60000,Kolkata,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No
I328091,ALL,100000,Chennai,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No
I223572,SME,80000,Kerala,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
I277303,SME,200000,New Delhi,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
I114934,SME,60000,Hyderabad,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
I282046,SME,25000,Mumbai,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes
I265152,Large,60000,Jaipur,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No
I106658,Large,100000,Bangalore,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
I311448,SME,100000,Chennai,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No
I287805,SME,60000,Mumbai,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes
I137611,ALL,200000,Mumbai,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No
I106925,ALL,25000,Mumbai,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
I988394,SME,100000,Chennai,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes
I388592,ALL,100000,Jaipur,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes
I821782,Large,200000,Kolkata,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
I794471,SME,100000,Kerala,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes
I202046,Large,80000,Kerala,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
I128789,Large,150000,Mumbai,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
I338896,Large,80000,Bangalore,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No
I165508,Large,60000,Kerala,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes
I303864,ALL,150000,Jaipur,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes
I139986,ALL,60000,Bangalore,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No
I181391,ALL,200000,Kolkata,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
I281920,Large,25000,Hyderabad,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No
I297644,Large,25000,Bangalore,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes
I329560,SME,25000,Madhya Pradesh,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes
I115573,ALL,25000,Chennai,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No
I799171,SME,200000,Jaipur,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes
I150767,SME,100000,Mumbai,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
I122764,Large,80000,New Delhi,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No
I135859,Large,150000,Pune,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes
I190674,ALL,100000,New Delhi,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes
I218199,SME,200000,Chennai,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
I120238,SME,200000,Bangalore,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes
I206512,SME,80000,Pune,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No
I155620,SME,150000,New Delhi,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes
I190388,Large,100000,Hyderabad,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No
I132401,Large,80000,Kolkata,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes
I258940,SME,150000,Pune,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
I158299,ALL,80000,Kolkata,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes
I276264,ALL,200000,Chennai,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes
I192342,SME,100000,Jaipur,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No
I218331,ALL,80000,Mumbai,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No
I126923,ALL,100000,Bangalore,No,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No
I225915,ALL,25000,Madhya Pradesh,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes
I975265,ALL,80000,New Delhi,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
I770923,SME,80000,Mumbai,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes
I175657,Large,200000,New Delhi,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes
I816878,ALL,25000,New Delhi,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes
I717499,Large,100000,New Delhi,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes
I117859,Large,25000,Hyderabad,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
I109674,Large,25000,Bangalore,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes
I324740,SME,25000,Mumbai,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No
I158947,ALL,25000,Chennai,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes
I267358,SME,60000,New Delhi,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
I135110,ALL,60000,Kolkata,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No
I158979,Large,25000,Chennai,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
I638469,SME,150000,Madhya Pradesh,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes
I302270,ALL,200000,Hyderabad,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No
I970842,Large,200000,New Delhi,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
I325318,ALL,25000,Jaipur,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
